Country;Waypoint;Latitude;Longitude;;;;;;;;;;;
Austria;LNZ79;48,301425;14,66676111;;;;;;;;;;;
Austria;LNZNB;48,237100;14,32178333;;;;;;;;;;;
Austria;LUGIM;48,185619;15,10902222;;;;;;;;;;;
Austria;MALUG;46,706111;12,5975;;;;;;;;;;;
Austria;MAREG;48,190489;16,96908889;;;;;;;;;;;
Austria;MASUR;48,520097;15,43929167;;;;;;;;;;;
Austria;MATIG;48,058592;13,54149444;;;;;;;;;;;
Austria;MILGO;47,301711;15,09165;;;;;;;;;;;
Austria;MOGTI;47,388981;10,71683611;;;;;;;;;;;
Austria;MOPIP;48,226156;13,82700833;;;;;;;;;;;
Austria;MORED;47,876353;13,01545556;;;;;;;;;;;
Austria;MOTIX;48,318500;14,58564444;;;;;;;;;;;
Austria;NAKUM;46,725025;14,35131111;;;;;;;;;;;
Austria;NAMAG;48,220083;13,85414444;;;;;;;;;;;
Austria;NANIT;47,393019;12,34643611;;;;;;;;;;;
Austria;NATAG;46,857992;10,61875;;;;;;;;;;;
Austria;NEMAL;47,918056;13,49833333;;;;;;;;;;;
Austria;NEVAG;46,663394;14,13443889;;;;;;;;;;;
Austria;NIGEB;47,089139;11,076875;;;;;;;;;;;
Austria;NIGSI;47,369167;16,03611111;;;;;;;;;;;
Austria;NIMDU;47,171986;14,78267778;;;;;;;;;;;
Austria;NOKDA;46,855617;13,508125;;;;;;;;;;;
Austria;NORIN;47,386603;11,40229722;;;;;;;;;;;
Austria;NORTO;47,266356;11,25182222;;;;;;;;;;;
Austria;OBEDI;47,327897;13,32974722;;;;;;;;;;;
Austria;OEN11;48,072547;16,59804722;;;;;;;;;;;
Austria;OES03;47,846972;12,97240833;;;;;;;;;;;
Austria;OES81;47,925761;12,92521389;;;;;;;;;;;
Austria;OEZ13;48,339197;16,49039722;;;;;;;;;;;
Austria;OEZ14;48,138200;16,5714;;;;;;;;;;;
Austria;OEZ34;48,324731;16,49625833;;;;;;;;;;;
Austria;OGRUB;47,915811;13,93003333;;;;;;;;;;;
Austria;OLPIX;47,017342;11,69031111;;;;;;;;;;;
Austria;OSMOT;46,682969;15,58043611;;;;;;;;;;;
Austria;OSPEN;47,485292;15,52741944;;;;;;;;;;;
Austria;PABSA;48,528269;13,73813889;;;;;;;;;;;
Austria;PEPOS;46,881897;14,44069167;;;;;;;;;;;
Austria;PEREX;47,639528;13,24375833;;;;;;;;;;;
Austria;PUBEG;47,511244;15,66199444;;;;;;;;;;;
Austria;R1803;46,977786;15,44328056;;;;;;;;;;;
Austria;R1804;48,111994;16,58146111;;;;;;;;;;;
Austria;R1805;48,088631;16,59133889;;;;;;;;;;;
Austria;R1819;48,233847;14,20563056;;;;;;;;;;;
Austria;R3154;47,803067;12,99820833;;;;;;;;;;;
Austria;RASTA;47,495428;13,38136667;;;;;;;;;;;
Austria;REKTI;46,584539;13,89744722;;;;;;;;;;;
Austria;ROPAG;47,213622;15,79936667;;;;;;;;;;;
Austria;SBGNB;47,967531;12,89407778;;;;;;;;;;;
Austria;SIMBA;48,230153;13,01581667;;;;;;;;;;;
Austria;SITNI;48,054228;14,83461389;;;;;;;;;;;
Austria;SNU10;47,860083;16,53516667;;;;;;;;;;;
Austria;SNU13;47,855542;16,60915556;;;;;;;;;;;
Austria;SOGTU;46,519925;14,36571944;;;;;;;;;;;
Austria;SOTOV;46,943864;11,21043333;;;;;;;;;;;
Austria;SUDUX;46,945014;11,00868056;;;;;;;;;;;
Austria;TAGAS;48,043986;15,65397222;;;;;;;;;;;
Austria;TIRUL;47,057175;10,52870833;;;;;;;;;;;
Austria;TISIS;47,004578;13,576275;;;;;;;;;;;
Austria;TISKO;46,682494;15,99190833;;;;;;;;;;;
Austria;TUKDI;47,011350;15,71536667;;;;;;;;;;;
Austria;TUMPO;48,434825;16,32111111;;;;;;;;;;;
Austria;TUNUM;47,253306;11,50645833;;;;;;;;;;;
Austria;TUTAL;46,950767;11,06923056;;;;;;;;;;;
Austria;UMBIL;47,353319;15,60116944;;;;;;;;;;;
Austria;UNIMI;46,860775;11,06518889;;;;;;;;;;;
Austria;VAMET;46,773867;15,3077;;;;;;;;;;;
Austria;VATAL;47,188561;12,60799722;;;;;;;;;;;
Austria;VAXIS;47,099725;13,63080278;;;;;;;;;;;
Austria;VELOM;48,221100;13,49940833;;;;;;;;;;;
Austria;VENEN;48,566553;14,54134444;;;;;;;;;;;
Austria;WGM12;48,119806;16,58410556;;;;;;;;;;;
Austria;WGM15;48,084725;16,60004167;;;;;;;;;;;
Austria;WGM19;48,020939;16,62896389;;;;;;;;;;;
Austria;WGM21;47,987069;16,63201389;;;;;;;;;;;
Austria;WGM22;47,973331;16,6505;;;;;;;;;;;
Austria;WGM29;48,277633;16,51212222;;;;;;;;;;;
Austria;WGM58;48,231406;16,53325556;;;;;;;;;;;
Austria;WGM74;47,971983;16,63812222;;;;;;;;;;;
